2018/07/19,191.88,20182050,189.69,192.55,189.69
2018/07/18,190.4,16365720,191.78,191.8,189.93
2018/07/17,191.45,15515000,189.75,191.87,189.2
2018/07/16,190.91,15009800,191.52,192.65,190.415
2018/07/13,191.33,12506830,191.08,191.84,190.9
2018/07/12,191.03,18000180,189.53,191.41,189.31
2018/07/11,187.88,18776390,188.5,189.7799,187.61
2018/07/10,190.35,15801370,190.71,191.28,190.1801
2018/07/09,190.58,19636390,189.5,190.68,189.3
2018/07/06,187.97,17426160,185.42,188.434,185.2
2018/07/05,185.4,16543880,185.26,186.41,184.28
2018/07/03,183.92,13954810,187.79,187.95,183.54
2018/07/02,187.18,17675210,183.82,187.3,183.42
2018/06/29,185.11,22551660,186.29,187.19,182.91
2018/06/28,185.5,17352380,184.1,186.21,183.8
2018/06/27,184.16,24987260,185.228,187.28,184.03
2018/06/26,184.43,24378480,182.99,186.53,182.54
2018/06/25,182.17,31632320,183.4,184.92,180.73
2018/06/22,184.92,27185130,186.12,186.15,184.7
2018/06/21,185.46,25649240,187.25,188.35,184.94
2018/06/20,186.5,20490090,186.35,187.2,185.73
2018/06/19,185.69,33538550,185.14,186.33,183.45
2018/06/18,188.74,18458410,187.88,189.22,187.2
2018/06/15,188.84,61438290,190.03,190.16,188.26
2018/06/14,190.8,21584720,191.55,191.57,190.22
2018/06/13,190.7,21480120,192.42,192.88,190.44
2018/06/12,192.28,16859020,191.385,192.611,191.15
2018/06/11,191.23,18069930,191.35,191.97,190.21
2018/06/08,191.7,26580710,191.17,192,189.77
2018/06/07,193.46,21329170,194.14,194.2,192.335
2018/06/06,193.98,20912820,193.63,194.08,191.92
2018/06/05,193.31,21535570,193.065,193.94,192.36
2018/06/04,191.83,26190620,191.635,193.42,191.35
2018/06/01,190.24,23377690,187.991,190.26,187.75
2018/05/31,186.87,27468700,187.22,188.23,186.14
2018/05/30,187.5,18503410,187.72,188,186.78
2018/05/29,187.9,22409110,187.6,188.75,186.87
2018/05/25,188.58,17186760,188.23,189.65,187.65
2018/05/24,188.15,23129400,188.77,188.84,186.21
2018/05/23,188.36,19966590,186.35,188.5,185.76
2018/05/22,187.16,15228270,188.375,188.88,186.78
2018/05/21,187.63,18383080,188,189.27,186.9106
2018/05/18,186.31,18083080,187.19,187.8102,186.13
2018/05/17,186.99,17014490,188,188.91,186.36
2018/05/16,188.18,19046600,186.07,188.46,186
2018/05/15,186.44,23639070,186.78,187.07,185.1
2018/05/14,188.15,20393070,189.01,189.53,187.86
2018/05/11,188.59,26167950,189.49,190.06,187.45
2018/05/10,190.04,27942430,187.74,190.37,187.65
2018/05/09,187.36,23141260,186.55,187.4,185.22
2018/05/08,186.05,28053230,184.99,186.22,183.665
2018/05/07,185.16,42557530,185.18,187.67,184.75
2018/05/04,183.83,56137230,178.25,184.25,178.17
2018/05/03,176.89,33944110,175.88,177.5,174.4411
2018/05/02,176.57,66454720,175.225,177.75,173.8
2018/05/01,169.1,52228910,166.41,169.2,165.27
2018/04/30,165.26,41976500,162.13,167.26,161.84
2018/04/27,162.32,35617230,164,164.33,160.63
2018/04/26,164.22,27850370,164.12,165.73,163.37
2018/04/25,163.65,28331540,162.62,165.42,162.41
2018/04/24,162.94,33674960,165.67,166.33,161.2201
2018/04/23,165.24,36396590,166.835,166.92,164.09
2018/04/20,165.72,65270950,170.595,171.2184,165.43
2018/04/19,172.8,34693280,174.95,175.39,172.66
